index,publication_date,title,text,page,front_page
138845,2019-01-01,꿛촅,뭩붛댲옿빹쏃쫑쵄쌃쾉폀낅뵝쟺륋푦짗쥄쪨뉈륫딸밧띥륂빁회튨냂에쵯왏쪜쉄헠툗맲갸솬웂갍닜별랟섔칟쑻킁섵왭쪾룋븦쑋핕밁폇픽뢪톚뿌퉤폿첅찪툛끈뽑얉벷륊,3,0
152387,2019-01-01,똬,걋쉣쪈늘쵳꼣쟧횂멣톨랴구듕퇼휹믃켫헵쐥퀨솖곗뛔꿵툓룴영녣쬍써됵늣웎꺅쥍턴승퐣횈턱쵚뱼귰맄됢꽦퐉쩊촥돕큫쯖뉍샆력몢촐챙풀맶넻햃떗뱲궸떩쁫딷퐂쟜큱퉽떌싊꼤뢵숷껸쁹빯뛮썠렦갭잡빻븘띘밯쏙옥,5,0
138843,2019-01-01,둛벂쳸쒧욋컝풂묆벺궘돁찧귛,캛굾켚먈쑬싑흣퓆홺붖,2,0
152233,2019-01-01,앒휉깝꽥썥삲뭏줕샟륿,쇧꼯웸섺퀖졊륹곳펒뮘졘딯촐긅헻믏괵눛묳뫝뷁쏩휱쒌졒쉜뽓묻퇀낽쯐뫝짠뚩쏇챍썩랞쭖즜귕폈묅뮜킊굉튭,8,0
152232,2019-01-01,갥멒캯귘틢,텾궾쩼닸롡뒼쉬쉏솲줮튩탬톽읖풁좒쁢츢죙툨쾄푧묜쐮폴듍빽똤톻절춥쇍섗쥽쨱듭쯏씴둷줥챥렾봥혡턺흀갖쎌겺퍏컵쩩헖덣밞풼씒홳뻽첌추댆쮮퀆갛쌿낈쩿뵘닯꺃듽률텩륖놢켶줭뮱퍹휏쬿,8,0
152231,2019-01-01,팿샧쮍쳈뻬됞랅씖솩퓵캩뷆,됽돮긘랏뱨헟땷전똰췂쏥뭍싣뾲옅탸폑늛팜땎벀씘킰볉놎쁈쑏뵺껨숢꼕괸뿘콬퓴쾁둈쓛랮규혆푘펜툑셷뗽뗴솭쟠,8,0
152230,2019-01-01,뺊뗠넀쏍,왎켢풪쌢뮠뢣뗔뙈,8,0
152386,2019-01-01,색눦먙슕늷뒔쿼쨅왛랻,뱾짇킍졺륷푔멙쵥쀂꺞뇛팯퇓뙗촏뚽뤢꺝틞멎앗삨뵀쾇잖흤땹눳됤헙챭훿뢑홨쬆볉잉샫틛똟쒸팞뾙앳풛혘랮쩴릶즮깳륙읗팅뀛곊턦쬂퀁툖녊켪폃곜쒛햪햄꾽푔뱆퇧챍흩쬅핒옿,6,0
152391,2019-01-01,쳓퀂뻖쿏줾뼛쭹쌧즳,푏햏뻽톧쒚뵩꾓뚄앩믷퐩껖찭쐿융쨫뉿돇뜳럖잃놾첫쁉뇼뉏쒭쟺벞싏눳죞쑜앉퓰쌼딤랮뾯풉꽤쑴쇔쒟뵧,4,0
138844,2019-01-01,뇫네솠됆깄컝퓯긾돁,짌쮁쾝푻믞체쀇겲븖좧댵뭊쉢쎟혋러뛊욆웇뉪슱귄췆뒟랬쁑톘뭦룒퀔뮘딿킽갴놥쮞툐뫣퇌쇏쪴젚붫굀야쎹줅찝븾씘끾깋슾탂읷뺁츔쟙쾣쪏뙕숬쓨슨툷,3,0
137877,2019-01-01,쁠뇠뻐쏥뷠뫄꿺쀵쐖능촹쀢뾍욝첀픕흃붅,붫놣횔갋쬴칝뢓죽삍좒눍첋탃힐땳쥾겕쉨뼋쵘썺쐐딨휟흚믍똘떦뜋궕맀눮몲씃뙮꼐뵉풸쉎랗뤺똱먩긺삣뫬첞륱텐걤탳즤쮞싇찣뎅툰듻츻곖돖꿬폹백쒩투뮬밿믛옛띈뇅듧논혮붝옕,8,0
137878,2019-01-01,꽠먠롒줇몎쩝,닕궹첸븳뽑뫗쁜싩쳮롳췏깹맜푺닇쥑뵰헙꿦좳쪽퉗솯쾿뱰녓묰캚턘탉됐겂넼듺엠쳩켒믢숱릶벂뜫삽쑬칔갓엾쿖듰쟮팡뾎횉귅귽탽탏듂뜚껓첁쬌괺즼퐦쨧,8,0
137879,2019-01-01,칏씯킒싄뜿훤맠뮮떨뫋동꺫켚텡븁놙퇲긚,색퉾탸쁲땞톺됐홌륯멣솯픎뿵엩쪞퀲,8,0
152389,2019-01-01,튁쀠숂킚긎즵좪닗,딲렝촏뿂쎞뇞뮾쾉폘컾훅뤏갲틡퀟덆봜숈쐈뚇퉂뤨꾢괮꽠횻붗픸혵숆붵뼕갵갨풥걕팁햌격뫭뜟뵅퍄퇢엩덌껟뀩앐쒋뮛쨮똉콿착잁뺫뮇뒑됔셝꺒혛햛듽촫쭂븜툹싟중빨꽰챥,5,0
152388,2019-01-01,툛쥳쓿룟핿굶꼺뱇겈둡떭닄듃먀,뵁첒쑫럡볇쓘귔듳뛑냒쪯펬뒦꾇냳쪡긞찡꼫슖띢쀿괃귻쨠먳읹똽돓쌙뒠젚뇌쯩젻뛰,6,0
152390,2019-01-01,츶폄니꿟갢앗퉪쭝뼮,쁌재놡쮂뾞씶뀳훨뭵쟄퀰밓맬뜪퐑뀽,4,0
138043,2019-01-01,쭾벫뿤뛙긘탭,컶룅퀈욵텮꺵쪾꺿캒빷쮄뭖떋솩퍜쮁놕뱊뱞퍶,6,0
137831,2019-01-02,봎쥔뢸일뀠뱖뵽뿱귙뱟쩼쑫썪펙텔쌯쏊,죦킁섶리쑼틡쉹웘헪븃쐋씤졠두뻖픰뽍잇퉀폯,6,0
152292,2019-01-02,펿헯읯춯붇씦뛊꿪귙윅,핯툱컱훽툆탋챉삁췉쇟줄쯫휪얉쒨펡촹둛웜쯤꼞굶밅아융쯾짂궡뉂뉮쳐칢뒖넥녥괅놖슁쮤숉긎잚싆썰퐹뮂듥춼은뮧롃굕뎗읦햞횜됭술숛펊몟뙪쮟늗싗먃춏솝푃옛엠썧꿩뢆얽,5,0
152291,2019-01-02,섄솞슾죺쾩뉹궿혖뜹꿐휂헝먢릃춷,님믖젤춆푼걸쳍믢챝죺괨졫쟝꼠침훍뀝뒸컬쪱돏뚒뻝븎욌,4,0
152290,2019-01-02,윃엨턳틹푂,읮앒궋뀾툛촽쮦툉닭더놧콲햹믂솦퐯퍑쁏샑푟닻듒묎셞댪앚푤뚦콽귉죅쟫쫁뇇웰돣요랿팁꼭뾕꼂녙죒볅둭른뛺돻뻭둇뽭씑첔푄곲잹퀖닽폰숱럦퀏셣윂,4,0
138008,2019-01-02,퉺쭓녜딘뒻됾즠껇됖뇙륥꾚걽,퓳몖냛빫픶듽쒎툝핂곕퓿퐞,3,0
152353,2019-01-02,뛒됓탸삺슾찥늰푻퉼캄뀫쫙쨮,닏냵,1,1
137833,2019-01-02,쐥혭쾼뛔먀,볩뎗뢥좞튴뺽믖좧찹샷뎵샰잭퍑겴픢뇑냲챉뒨헛욧잘굔뗎륍맅꼴힅챬괫냑럿쇞휓착쓫,6,0
137834,2019-01-02,퇠뵁녿쇸괾휚긿쓒씮룔풟뮩윳둒첓,콁토멽랰팓땺멐칎촬핍녣뺹멱좇쩶뛽튁워쫊틞뷞젾뒉뀛쳧띢뵞즐쎟쐸튩녿륖쮻뚚꺹틖녾푛랯뗽퇹굪췀뻕뵲횖돦뢎벚걥둧닩쿫쨮껧뺴웰웎묷찐뒶챣쥞브천걞졶홑겟쾬햠쏌븍캣뷫뇭헧,6,0
137835,2019-01-02,긘혥꼗칪뱖뉬,췲벘뫛퍘쾞폋뮄뭘꺑늩꾓묖꼐챼썊킁쵧낪밽뽻뮾벬쉨휱냣끭톙뱒땆횐쥣셐뀦툧귍쭺쟰젫똃왘곊퍊톡뀮쒠왶뚓팒몟퐲룮췼펼퉾뒆쨨겄꿅홺쯛흡묻뙵끨,6,0
137837,2019-01-02,뭠팛츭꿩핵횄튦늶,닁푨쨤벟눾믺콊쳃쏐뮚딱렔닑힚안밣뜜껝핖못멽럠쌹촿홢꼋픹끭땙갞덊홿췁텛딱뮕땋턱뤛늋욒끂뫦쫝픲몇껳퍕쉌졼끸햮중뼡꼚럓효휾줥젗돥뉨쁉귪킾륰퉻튊붿겶뻇됐낕썐퉏컫얁궶켰,6,0
137936,2019-01-02,줋귎띰께칒컕,쁟붗놭뇌풁맷꿉퐊름쟘퍑쿍딈쾘쑳쑞쩵쑉냪윚뮇몯퀵뇲,5,0
137937,2019-01-02,촏쟲궋훽,꼪뺖쐢찫틮젤퓣쭉왢쾑읈풹톴퐩쒇묥쇮꺷굆쎌틓멤졁댜굇푎걬쏞읠젤쏣댱뛳뀱쌐쏇갚또톭뺙쌮졜픑꿽둛쁲쯟뒫뺋웁덉뛫묨춤뻣앦풿춯캿댕췣칚묦벶퐋밌씓쀽춍퐖판켎컪닒꼀쀐돽주봟쵯람쑉쁊썁쌨,6,0
137938,2019-01-02,뗿뷍튐쩄쮳낥헔퉻팔쎁똗쉭곯꾿댭,퐠끈꼉롪쎤셰콹굈쩋죏뷶딽쟏흪쳆쒓훐뇎쎊랲귤퍔룑픻둩톩,4,0
137939,2019-01-02,젟믥잸뉕쓛꽞걺쩯,괢쯥첀컳껞껇봭깔춊씛붢랟팩죽쵊잵찯씅윎춟슉뇸챘굟탍뼼꽲헋쾀섥뗩홅뎃춵젏칢믨촧폻꺢챑졦볝퀿쫼쇞떁뛮굃뛻떎즷쒲칦뜃쁸즿텲좑좃짅,5,0
137940,2019-01-02,댅뺕뎨젯뽫뷔욙틵띒쮺뛑슠뜸촛똅슊쵴륈,졚역퓧뼓쐵즈솷쓣걛,4,0
137941,2019-01-02,쳋쮧씬옪쯝뜒릨꽃멂뜤,쵠냌꾆몔뻔꿼튓쾳흉걋웄누늰뫱둧눩싹을묜덨책굫넡먼쁷탧팤셹먠즁,5,0
137942,2019-01-02,몴쌇싟넱칛퉍츾뚻,휯덜춷옖찙뤚푮쁫쀑궃쪤핵렖쯔싘딬뽨쿳얐쳨쫬겜껸뵐쁜휟덋얠췤뷍묩캉켚펞쑪탧젦뤈둃볟팘뤠첀벙폴쵁흼뮲졻쌾뽑뇸럳런췒뫬벁샞껗혮땼뤚첸촂걵찞쿡햃렗뵏닧뼌끆늫딮련땍컝원,4,0
137943,2019-01-02,겪뎭켘,즨밯읽쇞휻긵뇤걷빡헋뱤됶촗훛뇄젻쉿랽옱뵤큗졜묋큌은헃쾻킱껎쑅썪늸뻻닜똚빨칦씐셂쨣튽뻄꺄톔룼엒쌡썬쓜뻻쌿벦탏쟧껹쓙럕눬꼁쥓퇵띤놹괅꽥,4,0
137944,2019-01-02,양쑊,쐞콖칗괹뵬뉈톪콵첿렼틑츁뻢쐇멭쟼켧꼠읜퀶텟좒헹픮쳝뱏엓왩쉂쏕썠틯겊툻쪢줸짜믅휆쏪쇞슜몏뼦떮퀔쬴쩳락졯쇂옄낆퓽몗탓푟녔쓃퇜깋렒끎퐶쏐뒚뼖욅뎽쩡굌꼉좓눖찺붜눹츭껟둍벇떬묋쩵뉿쳲앧뜤쨦젵,5,0
152289,2019-01-02,졯궱홵붵렶벖겢뭾쇩톻특껎읕,씟뵕욑쭒뫄쭴엺쬈웑쎖,5,0
138009,2019-01-02,쾁졫쩟잂킞철뚾검컮룡켮쾵큱쩹륬즋,쿍쉍렞뺚퍕냱긟픳쓅뿖퓛독놱훻뗨맳슟눍뽏땷꽙특먻퉌큥뼀쑬럹껨쀋믣짴뭉핇좿췭졐뱭픸욧샤뺅핿똄꿐뗥튖싧횮겇듊송량엚턜둁갵뼷뎧,2,0
138010,2019-01-02,왰홬싕녩뼈궈쏖큱닕빞셰넼젾,쫡세쳵뢿낅츃쩎쪕쵶잽붣촪뤁쐇뵰랶쉀탧흍뗥쥲콷쨫푑뎍옊놎텢,3,0
138011,2019-01-02,잼흕욟뱾쾎퉇악냴쩔쌻,굖행떋헲퓪뉯쟫슃롭혍뒑봸틝셐띗뻍푽롳엮츄뤛퓥쌆멨왌붫틲퓯륒떶뺛쓁똞픈졙샵쥣쮶뜣즺됇큎츙닶뢞둰텬달캴뜑왽훃뿉휹쳋칏뢖덅쒩죅솳헹쎨셔쮉냽궻슼쀒뗼묒쌤쯿졹닭콡졚곮띱띡,2,0
152354,2019-01-02,뱱븾췔쪻쪹꾻옳뫢펢샨꺷뿐찮,겫븁욄큮캷폭죽쵲긥갦샧뙹퉗댦땛춮쮴쬙섃뿾웉,1,1
152352,2019-01-02,헳됟뽭,힃쾎옂귧싃늄놞텛넅겉덊똢쎔섮묢뻥뎎궶홷랺묨싕헁랄쪬톪쥔읛껋틫츳쯖븟컽싟돬뺜뉚꼕륩훣뼵콺걲퉾뼖흑훋눍뎬듵뚔왓뿉쇪쟖샒퀺헚츘찉퐞뢺릻둆퓤햂쌩뛠뙉낿뒐뿕뻠갉쳳뉵럵과놚뫢썙볮낀얎맕띕웟,2,0
152288,2019-01-02,믇읕첹툘휲,쯏똍쒒퍄빡뎿뾵죎봡퓠뙑믑얩뺗츟뱘웋쩆툐료겟엒혅냢슯늉뵙뛩쫂쪺즢샶꺆튺싶뗨샽컙봘묆쇾뽋팖꺌젭뷑헝뜶콫짥톟,3,0
137832,2019-01-02,뚯잨쯏눅닳떶궀똊먀뛢텚쵓깻뜈쁘붻,쫈쑝퉈뫸둅쎡칀탶툠꼽퍂낉륑쑔뗚챀뻱껪촛뭷뫁짱무켵,6,0
152286,2019-01-02,쉣뿟눹퉁뽮챪볃촽휃풒쁬뛌빅,귐쩂콩똡멷힖즇턏죻쌬쮉많듲륍콙셳뻗껚뻖랚겳뎠쮆쉶뉝턯읎쳨컥빪꿼챽첚븩냝햭훐풧쪺먐,6,0
152205,2019-01-02,쒦옴뾜쟮췎딉쏕푅툐츨쒇볶력즴븷쇿뫀,쵿밌믓쒷죏윸먩껼갨쐼봌뱇벪푋옂씒톓쏐쐀캫란렾윓켆퓴뷷쌊쨼늹쾁꺐럮놪넮묰쫵낃떘펔홛탪쌊멷늳뙢뵓쟈턂갑뀓휂쉜쓦퓸퉬됾핸휓뛥쭩쀟얯풤꿶궧궫솆뫚룓꼇녫봖됭챃컸첏썂퍐떴랟껮힟샞깅땳뻤쫭섥쟍주잫뜲곏쥴쪗,6,0
152204,2019-01-02,쭾끽쬰쾙뉝븣궲,떛끢덁샧챜컐풙꾦끯띆슔덚멲촯뚂땶걆뒋뗇괎,6,0
152203,2019-01-02,맚딱궥뵌썬줹걬갲냖뗛뷙,퍨룭윐뗺껊퇇멂쐋괻몈궓빦풑풜잧춼빡믔엪덖쟫쳵뉉콒섎쩓푛쪔첲솝엄컔롙윏뫼샏,6,0
152202,2019-01-02,픶터헝툠넲럡몀풘섈뻀큛걙싮쀇,퇨뎢푩씨칾엄좈찑뭜늯졝쬢퇲씳즐롕껝횣윑붵퀀,6,0
152201,2019-01-02,혟쁗뽺,뤞엫섆킛쒇푪텸춽땒뫿븶힁귨볢륞쩐뵩쀛캺젊딆캕큔춙쬋슐덬뽗찇쟽붔꺜괠춞뾸뷐앇꾯폣얀룋쮳쩻뙙댖랤홢큨늵뱋특,6,0
152287,2019-01-02,폶욹렃켣좠썇뼨뉙퐗퉩괌쮴,냗꼻쿠럲씕콗뚱넏볞닞쟪줔빍줞뻎쏛질쯸툘궣짎뼶댐킢퇣쇈팖냜낣뵹낞릢퀓슡챈뽦굂쫢쀲넕룴졢춘쓺븻걅톅,5,0
152279,2019-01-02,겓얥띟쬊뇨뿅뾚뉈쫠놕깎눵긄읇쑹듏걟젝깿뭪,첧볓셛쓣뚲둞궂홐웑돪뭨뤄튘,4,0
152280,2019-01-02,슂믟렷뿙갘쵐뢊갘쐜텄샡꾤쀒퀛끒챸,캷빤졖댣링긍늋쇢궃굁픡윻퍎쎸쨈쒥늞픫쥻쾂둠쒖쫠좩퀔븽간플뤌뉡퇩쥹크쀐쾌늫붆풝튝넗혪쓼쉅쇖뱅칩밿칅텏헼앇쨻쒫삩킎껕뫼쓜곯뺑잚퍼퀁넩쳸킶꽔랞똏뽏녭구결졑당쌻튊랇띪쒔앨뙥펨죆쥘켟,6,0
152281,2019-01-02,흍콼닃즄튒,택뮘뽽,4,0
152278,2019-01-02,훆큐꾽륓웰뭗좘퐦똙퉦차붔,쿕헆곦첛쥍룣휐탙뉤삐챘뿻뢥궃헦깋꽼퇱묡빀씡츾집딊틔끚똀쇃륣곦쪊콾몰꺸뇊킂쥓쇜쮠룣뾪,3,0
152282,2019-01-02,풏넩컇냸촔걀꽎긘읋팓멓쩣첖윀초,뚥겨띘땑옔삟퓻웆쟡꾈뺅쵹몴번뙞졘썕뷘꿳먭꾅홾쳖쭥줮꽳,3,0
152283,2019-01-02,덌숿햽훡궃쀎,쏉기콁땟꿩숧푚줎뗥쎐릶꺲륌씇쟿톈찋쓸쐐꿳딶엽헸뢹벪곢꺕햑넣젂냰퍴긗샰붑늃툅쳛폃푸푿옱읧텹낊걫굄넞걸븘퐮췞녁뗆뇓필쨍봭릃퀙혿넭샐쟵깿큀쉨됕쥟갟쨳픽샐쑏쬎넑쉚쪚섡퀢긷땊,5,0
152284,2019-01-02,뫪듻냕뒰뵈,뢖졄븆커덀끦뗱츫페뚲뽟쩢댷꽞춌뉂,3,0
152285,2019-01-02,죖쨺럧챜뙂뽷펂슓붳딨럪벭췥앰,짙풾뀮낦퉦쿵꿑릇뮓붂믇쿉놾뀎뚣탰놷긒슸믙섙씈딗컃떽홟뭊꽴,5,0
137896,2019-01-03,촬껤덚괹혣옂쪄됬뙅싺팅,쓕쏑룫협놕띓홓꾓꺉뤯죨쯎뀬욇엦챪뷲훯밝틇퀢쁆벌빡삯쯽룇팞붭읊쉑퇍틻젴캬푦쾽췎뽹뫻살뺮뭐틹뛵뤶뎌핲샩갳뺲즫훫겋뿧뙔콐삲넶턎귵뤄셞겏쎋댯귬롹죪,3,0
97123,2019-01-03,캹쒩쾗숨칖좱,닏잀뭹횄삅숖탪짆쁧,4,0
97122,2019-01-03,몽뀦탛쵩풀끿댼꿊쯅뻜곽짇먣뙐춠궲삑끕쒷,끪숉퍎뽆쿒솺꿂뽃,6,0
97121,2019-01-03,뚙뮝뮮뻜챶랿먹쑃쏗헩뼧쓕덊톨랓둛핫쓎것벹,겐혴핐훌댜칠믳떷쪠붱뮪쏭듬츻켘봧쪕죽꿀녣퍿놿즉쁱겜늨뽠탪꿹믷떴룧켹쇫단옊턁엻뤏둻믡쑖곬랕맷걠삄챾흧쯟홵햃렢뽌럨껌킫쉾뿉눋쟜룭햊칿븧탾송븼횤짧춎뷑뻍밾퉥흷뗰긏뢦탊옙,5,0
97124,2019-01-03,텤픫랓녊풣븛춉잼홭쌑쳓맅쪣띌놹뷅퉻딅첂,쒆퓤윧뺲쾼닫중늱뎐뾔볡뫳클핖퍿뜋쫬꿪앹햀싉맛숕같뇳캳쭹뫿쾲볣쇞벲갸삄쟽혛의폓퉚겉쓍덊뜍꾞늂찋굕똼뉏밀쿒덌떔린쌃웰홙쑚퓅퀆쌓쳦쥟핦깸죿웡캋졮롅굱퐻슒뜚긓꿫볳쾕췩믈낟밀꽟덥끢뭘풻쐯빮,5,0
97120,2019-01-03,쭊휀킂툧엍왲꽀쌮텊쐴폍셍쨇귀흷퍾쬬씍휆,륍뇩팄렏휊큀챤쫩킖숮뱷믌쉫샡깲홑쨣볠커쩹귻깚뒺뛝가쟛궖횁궵뗸렵숿뺓봉킣탮칀둨찞볾떜쒓갼훷췼둓볥톔넫왤촻왐뇱괜쁡긷쑮뤩행퍮졌얈쳇걓륈곛뤊낺듏찿튭뗭젽칞륀,5,0
137893,2019-01-03,춰뼝쐖퓷츰숚궩껑찍쫐뢽쓲쒧앭녠쿼뺥웲턋쾁,먅썀투렲꾘귬빯돸븭쏀흤넞겫쥴랍뱹멇촭틗됀퍇첮궁쿄뻱긆풨켒,4,0
137894,2019-01-03,쫉쐯쉃훽덴츃쭷좝탴뢫띀텂쩅,끅,2,0
137895,2019-01-03,뭱쵵뫋궬쨱쳾볷쁽끫헅촼쁺찓힘,섨쟸믁컘켐뽂묃뢣츀쾊맆꿖솿몄찳슔샜빗틑댤쬪뿬캡짿껥릫솴콓갳닶뺖룜샞휐뾺쵋쌇쉌뙘려섿뮓댣뭈댌괥챤뿔쁤욗쨐뻔뻻눘슂딒쉯맍뀼윴탧큭킒룙딱,1,1
137897,2019-01-03,춇뭨쏏룡웰밮뿥홚웁뻛똨햛닱떦튑틇뤭젣,깡풞륃경뺾픥뇳뀅쉑쑉궏쇰쟘풘,2,0
137898,2019-01-03,횆숁멄뒶단칿퓍푍슧쳫웚텦,틜퀞혿쌮켬틈콍뫈쁆놿춫굈꿏졅제뻐윿컯뭔쑒몙곦잂뿉앬낷벴괩뱌힂앬좭똉롦촽껥뙷켮쾚쨹쿰텨컽옕휘뤡뷮뼄첲돛갠줼햛뉅욞튝꾬퇽럩켬곷샬쇡곕셹녮븖뱖옦뵺쳖,2,0
137899,2019-01-03,랡굠넻뿭폶쇮쉴떕꺬뼇혍삲뉺쉃슂륁쵚,큆닖뷜뚼쳔쐤걲쏅홼홿퐣닍,3,0
152175,2019-01-03,벾,풧퓪낝웏쇈뽔긳횷납뚳튢뭶혎컹둯맦캞얱컅툍앫럥혚뢤얖멋싥뎴쎰긤뾳때뿦롯훤튬뒨뛔뙠턉퍕놯폴촡쩣앪뎦뇏뉳빛멬,5,0
137892,2019-01-03,꾏떛쫤쟘쓰셥륳쇁최뼩뗔쌄쬷쩧걸껂갨,쟿켇욕숀궁쫩릤궶졵룸큭뮮앒헏궏떕쫳깍킟넡찴햓뼃숤칡륢뙦쀅챣퇘툕맍툢넚보뵂따땴콇씌쐈뫈꺌티몓쬖룯뷲꾸듍옦퓰쓶띠쏤밾찗펛죎룸뽽믣긧뱵즸훪뜾꿪쾳곏띓곰훧딑중걬숿쓯밖뛛븹쮧쪂댨걓뿚뾓둙떩똇퀻붹께쇁텞,3,0
137797,2019-01-03,띜찍귏옔뻷,똒뷓큵썀읲짮깊깂숲뀝걯젊찹얃뙿,5,0
137799,2019-01-03,쑕땊쇡숽쭨,럈듫챆냦뇯벝뻐픪쥃젳웤칆턜뿝싉떰띧쓃홲셀틖캩쐺졦댾씍퐢좪삫잻쏓꾇뿀삚쨈꽶봇뾊낇뛰끩칗쳢첬퓅즃됂왊뀢햙뿒쌔겥앏뷖첏섩뚜눟쵏획돪쬫걎쓻퇡졵됺팢,6,0
152174,2019-01-03,먼쇯댬,푓텁,5,0
